Date,PX_LAST,AVERAGE_BID_ASK_SPREAD,EQY_WEIGHTED_AVG_PX,PX_VOLUME
23-Aug-21,3.94,0.0101,3.9374,17167500
24-Aug-21,4.11,0.0103,4.0586,56126400
25-Aug-21,4.1,0.0103,4.113,22290100
26-Aug-21,4.16,0.0104,4.1367,27978200
27-Aug-21,4.18,0.0101,4.1668,20661600
30-Aug-21,4.18,0.0102,4.149,50683700
1-Sep-21,4.08,0.0101,4.1,35537700
2-Sep-21,4.07,0.0102,4.0684,20994700
3-Sep-21,4.13,0.0102,4.0961,16580500
6-Sep-21,4.09,0.0101,4.0861,16986600
7-Sep-21,4.1,0.0101,4.1007,9414900
8-Sep-21,4.15,0.0101,4.125,17679900
9-Sep-21,4.1,0.0101,4.1089,12565800
10-Sep-21,4.1,0.0101,4.0947,12239500
13-Sep-21,4.06,0.0102,4.0455,14485400
14-Sep-21,4,0.0101,4.0142,25125400
15-Sep-21,4.01,0.0106,4.007,21194100
17-Sep-21,4.06,0.01,4.0407,25790600
20-Sep-21,4.02,0.0103,4.0198,5930400
21-Sep-21,4.03,0.01,4.0199,7601900
22-Sep-21,4.04,0.0102,4.0368,13208800
23-Sep-21,4.06,0.0105,4.0632,8365600
24-Sep-21,4.04,0.0101,4.0461,13142900
27-Sep-21,4.08,0.0103,4.0518,14443700
28-Sep-21,4.11,0.0105,4.0744,15097600
29-Sep-21,4.1,0.0108,4.0875,9457200
30-Sep-21,4.07,0.0102,4.0699,21417800
1-Oct-21,4.04,0.0104,4.0429,18087900
4-Oct-21,4.03,0.0103,4.0324,12620000
5-Oct-21,4.06,0.0107,4.0414,9445100
6-Oct-21,4.06,0.0105,4.0567,16163300
7-Oct-21,4.08,0.0108,4.0715,8972700
8-Oct-21,4.08,0.0109,4.0765,8769000
11-Oct-21,4.11,0.0104,4.1084,13009300
12-Oct-21,4.16,0.0104,4.1453,18398600
13-Oct-21,4.19,0.0106,4.1902,9115000
14-Oct-21,4.19,0.0104,4.1861,9419000
15-Oct-21,4.2,0.0101,4.1975,9385200
18-Oct-21,4.23,0.0101,4.2323,13360300
20-Oct-21,4.27,0.0102,4.264,18349300
21-Oct-21,4.23,0.0104,4.233,19783500
22-Oct-21,4.23,0.0106,4.2143,8128200
25-Oct-21,4.24,0.0114,4.2405,6765800
26-Oct-21,4.23,0.0101,4.2324,13502500
27-Oct-21,4.23,0.0103,4.2385,9136000
28-Oct-21,4.2,0.0105,4.2101,13131000
29-Oct-21,4.17,0.0108,4.1821,20361500
1-Nov-21,4.04,0.0105,4.0453,51794900
2-Nov-21,4.04,0.0104,4.0501,22210200
3-Nov-21,4.04,0.01,4.0418,13948300
5-Nov-21,4.03,0.0101,4.0268,15177700
8-Nov-21,4.04,0.0101,4.0347,13626300
9-Nov-21,4.03,0.0101,4.0235,12276500
10-Nov-21,4.02,0.0103,4.0188,10463100
11-Nov-21,4.02,0.01,4.0201,11040800
12-Nov-21,4.02,0.0103,4.0268,15585600
15-Nov-21,4.01,0.0101,4.0103,9846000
16-Nov-21,4.02,0.01,4.0153,11170800
17-Nov-21,4.05,0.0102,4.0367,17803000
18-Nov-21,4.05,0.0101,4.0478,13575700
19-Nov-21,4.07,0.0102,4.0628,11812500
22-Nov-21,4.07,0.0103,4.0646,13156000
23-Nov-21,4.07,0.0101,4.0679,13207100
24-Nov-21,4.07,0.0102,4.0655,7858200
25-Nov-21,4.02,0.0102,4.0394,10060500
26-Nov-21,4,0.0104,4.0031,22785200
29-Nov-21,3.96,0.0103,3.9709,23410500
30-Nov-21,3.94,0.0101,3.9466,91707100
1-Dec-21,3.91,0.0106,3.9215,29325600
2-Dec-21,3.91,0.0102,3.9138,27477100
6-Dec-21,3.88,0.0102,3.8924,48415600
7-Dec-21,3.99,0.0102,3.9654,18349600
8-Dec-21,3.98,0.0102,3.9839,17080100
9-Dec-21,3.99,0.0101,3.9887,10742400
10-Dec-21,3.99,0.0101,3.991,8653700
13-Dec-21,4,0.0101,4.0028,17267900
14-Dec-21,4,0.0107,4.0033,15463700
15-Dec-21,4.01,0.0103,3.9985,15603200
16-Dec-21,4.03,0.0102,4.0255,13374200
17-Dec-21,4.08,0.0102,4.0656,33607700
20-Dec-21,4.07,0.0106,4.0669,8751100
21-Dec-21,4.08,0.0101,4.0878,15104800
22-Dec-21,4.1,0.0106,4.0932,11093600
23-Dec-21,4.14,0.01,4.1226,9992800
24-Dec-21,4.12,0.0103,4.132,4602100
27-Dec-21,4.15,0.0104,4.1368,7916100
28-Dec-21,4.18,0.01,4.1706,9562500
29-Dec-21,4.19,0.0102,4.1756,9481400
30-Dec-21,4.15,0.0103,4.155,20189000
31-Dec-21,4.16,0.0104,4.1515,13867200
3-Jan-22,4.15,0.0102,4.1625,4077500
4-Jan-22,4.13,0.0103,4.1287,13765700
5-Jan-22,4.17,0.0101,4.1489,12865000
6-Jan-22,4.12,0.0102,4.1302,13660500
7-Jan-22,4.16,0.0104,4.1496,10787000
10-Jan-22,4.18,0.0102,4.1709,12661800
11-Jan-22,4.23,0.0101,4.2125,30974000
12-Jan-22,4.25,0.01,4.2347,16577500
13-Jan-22,4.24,0.01,4.2328,13170900
14-Jan-22,4.2,0.0101,4.2061,15196900
17-Jan-22,4.22,0.01,4.2071,15074000
19-Jan-22,4.18,0.0103,4.1688,18648200
20-Jan-22,4.17,0.0101,4.1706,19457300
21-Jan-22,4.18,0.0101,4.1726,17882300
24-Jan-22,4.19,0.0104,4.1772,11819200
25-Jan-22,4.18,0.01,4.1749,11850600
26-Jan-22,4.2,0.0101,4.201,16102700
27-Jan-22,4.21,0.01,4.2091,13549600
28-Jan-22,4.22,0.0104,4.2184,13879200
31-Jan-22,4.21,0.0105,4.2147,13111700
3-Feb-22,4.23,0.0102,4.2274,20856200
4-Feb-22,4.23,0.0107,4.2212,15673700
7-Feb-22,4.22,0.0102,4.2188,15145400
8-Feb-22,4.21,0.0101,4.217,10413100
9-Feb-22,4.3,0.01,4.2577,36077400
10-Feb-22,4.35,0.0103,4.329,26148500
11-Feb-22,4.35,0.01,4.3443,13417700
14-Feb-22,4.36,0.0103,4.3564,17378100
15-Feb-22,4.39,0.0102,4.3806,28095200
16-Feb-22,4.41,0.0101,4.4025,20299300
17-Feb-22,4.41,0.0101,4.4059,29126300
18-Feb-22,4.39,0.0101,4.3878,19394800
21-Feb-22,4.37,0.01,4.3683,22645400
22-Feb-22,4.34,0.0101,4.3388,20577100
23-Feb-22,4.36,0.0101,4.3614,19025500
24-Feb-22,4.28,0.0102,4.2986,29953400
25-Feb-22,4.37,0.0101,4.3651,25459900
28-Feb-22,4.45,0.0102,4.4309,50158300
1-Mar-22,4.42,0.01,4.4396,24884600
2-Mar-22,4.41,0.0101,4.4072,31759600
3-Mar-22,4.43,0.0101,4.4258,19133700
4-Mar-22,4.42,0.0101,4.4115,27433300
7-Mar-22,4.31,0.0102,4.3329,28352080
8-Mar-22,4.3,0.0104,4.299,41646593
9-Mar-22,4.4,0.0103,4.3859,35152995
10-Mar-22,4.52,0.0102,4.522,70717510
11-Mar-22,4.4,0.0103,4.3777,35870974
14-Mar-22,4.44,0.0101,4.3974,30810578
15-Mar-22,4.48,0.0102,4.4691,34415804
16-Mar-22,4.52,0.0101,4.5028,39360339
17-Mar-22,4.63,0.0103,4.6022,57938968
18-Mar-22,4.69,0.0104,4.6649,115147025
21-Mar-22,4.63,0.0102,4.6168,29222660
22-Mar-22,4.62,0.0101,4.6043,26040175
23-Mar-22,4.65,0.0101,4.6438,17265373
24-Mar-22,4.65,0.0101,4.6475,17258476
25-Mar-22,4.66,0.0101,4.6472,13375370
28-Mar-22,4.67,0.0103,4.6608,13380554
29-Mar-22,4.63,0.0101,4.6397,19876575
30-Mar-22,4.65,0.0102,4.6437,20101627
31-Mar-22,4.67,0.0101,4.6592,39257626
1-Apr-22,4.78,0.0104,4.7381,33036041
4-Apr-22,4.72,0.0101,4.733,15624213
5-Apr-22,4.7,0.0101,4.7007,31303399
6-Apr-22,4.71,0.0101,4.7081,15658142
7-Apr-22,4.68,0.0103,4.6852,29189258
8-Apr-22,4.68,0.0101,4.679,12062966
11-Apr-22,4.67,0.0103,4.674,10265120
12-Apr-22,4.67,0.0102,4.6725,14655045
13-Apr-22,4.67,0.0102,4.6708,21202485
14-Apr-22,4.67,0.01,4.6773,13579910
15-Apr-22,4.67,0.01,4.6714,7951920
18-Apr-22,4.63,0.0101,4.643,11238609
20-Apr-22,4.65,0.0101,4.6454,27579145
21-Apr-22,4.67,0.0104,4.6566,20921484
22-Apr-22,4.72,0.0104,4.6996,14406100
25-Apr-22,4.71,0.0101,4.6982,14532139
26-Apr-22,4.72,0.0101,4.7044,14044829
27-Apr-22,4.71,0.0103,4.7169,15171225
28-Apr-22,4.71,0.01,4.7159,20714746
29-Apr-22,4.69,0.01,4.6925,13825983
5-May-22,4.63,0.0104,4.6659,29066634
6-May-22,4.59,0.0104,4.6132,32876417
9-May-22,4.56,0.0102,4.561,17510879
10-May-22,4.64,0.0104,4.6471,29713627
11-May-22,4.65,0.0104,4.6397,24629933
12-May-22,4.63,0.0102,4.6479,18632420
13-May-22,4.53,0.0101,4.5697,20864281
17-May-22,4.53,0.01,4.5479,17980962
18-May-22,4.61,0.0102,4.5925,17252298
19-May-22,4.57,0.0102,4.5809,15114603
20-May-22,4.52,0.0101,4.5641,15040907
23-May-22,4.54,0.0101,4.5406,12137948
24-May-22,4.5,0.01,4.5203,14617130
25-May-22,4.55,0.0103,4.5445,12750668
26-May-22,4.6,0.0101,4.5934,9802319
27-May-22,4.62,0.0101,4.6045,7655370
30-May-22,4.59,0.0102,4.5947,6093186
31-May-22,4.73,0.0104,4.6947,54184180
1-Jun-22,4.63,0.0103,4.6372,17851137
2-Jun-22,4.61,0.0101,4.609,9399747
3-Jun-22,4.58,0.0102,4.5996,7985840
7-Jun-22,4.52,0.0101,4.5526,12144897
8-Jun-22,4.57,0.0102,4.5768,9659187
9-Jun-22,4.57,0.0102,4.5701,14057025
10-Jun-22,4.53,0.0101,4.5327,9392497
13-Jun-22,4.48,0.0103,4.454,23442699
14-Jun-22,4.51,0.0103,4.4864,17370016
15-Jun-22,4.48,0.0102,4.4739,15614607
16-Jun-22,4.55,0.0103,4.5325,14544497
17-Jun-22,4.49,0.0101,4.4914,34639932
20-Jun-22,4.43,0.0103,4.4456,13226430
21-Jun-22,4.47,0.0102,4.4564,11604463
22-Jun-22,4.4,0.0102,4.4225,13206694
23-Jun-22,4.4,0.0106,4.4016,8632307
24-Jun-22,4.43,0.0104,4.4295,5344712
27-Jun-22,4.44,0.0104,4.4307,13940380
28-Jun-22,4.46,0.0102,4.4497,13545165
29-Jun-22,4.42,0.0102,4.4298,16836288
30-Jun-22,4.37,0.0102,4.4028,29041256
1-Jul-22,4.42,0.0101,4.3986,14767295
4-Jul-22,4.39,0.0103,4.3987,6948241
5-Jul-22,4.41,0.0103,4.4088,12933041
6-Jul-22,4.39,0.0102,4.4102,14741404
7-Jul-22,4.36,0.01,4.3817,8531649
8-Jul-22,4.4,0.01,4.388,6207590
12-Jul-22,4.4,0.0102,4.3892,5809441
13-Jul-22,4.37,0.0102,4.3784,10705899
14-Jul-22,4.4,0.0103,4.3875,7445181
15-Jul-22,4.4,0.0101,4.3875,7077842
18-Jul-22,4.39,0.0102,4.3866,11310255
19-Jul-22,4.4,0.0101,4.3984,12538753
20-Jul-22,4.43,0.0101,4.4187,15566237
21-Jul-22,4.44,0.0101,4.4377,9273809
22-Jul-22,4.57,0.0103,4.5507,16924533
25-Jul-22,4.62,0.0101,4.6022,12776346
26-Jul-22,4.6,0.0102,4.6024,10907947
27-Jul-22,4.6,0.0103,4.6036,9189635
28-Jul-22,4.64,0.0101,4.6455,11959398
29-Jul-22,4.64,0.0102,4.6339,14655180
1-Aug-22,4.64,0.0104,4.6197,7972602
2-Aug-22,4.66,0.0102,4.6316,8710339
3-Aug-22,4.61,0.0101,4.6032,13129092
4-Aug-22,4.65,0.0103,4.6225,21825892
5-Aug-22,4.63,0.0103,4.6291,15284525
8-Aug-22,4.64,0.0101,4.6375,11521756
9-Aug-22,4.66,0.0107,4.6567,9230843
10-Aug-22,4.63,0.0101,4.6283,13678895
11-Aug-22,4.65,0.0102,4.6487,18054850
12-Aug-22,4.65,0.0108,4.6578,13425330
15-Aug-22,4.66,0.0101,4.6635,14367527
16-Aug-22,4.65,0.0101,4.6464,13102301
17-Aug-22,4.65,0.0103,4.6553,14319310
18-Aug-22,4.65,0.0102,4.6552,13407738
19-Aug-22,4.61,0.0102,4.6314,7798100
22-Aug-22,4.59,0.0102,4.5924,9127919
